Reference_ID,Deposit_Status,Assigned,Recieved_At,University,I_20_Status,Created_Date_Readable,Modified_Date_Readable
1320577,1,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1356800,1,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1356915,1,Ryan Stoeckel,2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1319991,1,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1266321,1,"Naresh Dama, Catherine Donahue",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1401710,1,"Naresh Dama, Anna Kluemke",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1350466,1,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1389787,1,"Naresh Dama, Alexander Mikhailov",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1381392,1,"Naresh Dama, Victoria Dieckman",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1383663,1,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1326450,1,"Jorge Jesus Pena Cevallos, Cheng Zhang",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1315969,1,"Naresh Dama, Anna Kluemke",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1390157,1,"Naresh Dama, Catherine Donahue",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1303555,1,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1360587,1,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1315727,1,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1352206,1,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1266260,1,"Naresh Dama, Catherine Donahue, Jorge Jesus Pena Cevallos",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1325308,1,"Susan Imbeah, Jorge Jesus Pena Cevallos",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1378533,1,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov",2025-04-14 19:55:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1319991,1,Anna Kluemke Mounika Bhuvana Maheswari Krishnamurthy,2025-04-16 16:06:00,Saint Louis University,1,2025-02-19 21:18:56,2025-02-19 21:18:56
1358886,0,NULL,2025-05-27 11:58:00,Saint Louis University,0,2025-06-15 15:05:43,2025-06-15 15:05:43
